Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line,Line_no_stopwords
1443,1444,1,Meeseeks_and_Destroy,5,5,Beth:,So many possibilities. ,many possibilities
1453,1454,1,Meeseeks_and_Destroy,5,5,Beth:,I want I want to be a more complete woman!  ,want want complete woman
1476,1477,1,Meeseeks_and_Destroy,5,5,Beth:,"I got pregnant at 17. I mean, I still put myself through veterinary school. Yes, I'm successful, but what if I hadn't...- - I'm just saying, somewhere along the way, I lost that wide-eyed girl from muskegon. ",got pregnant 17. mean still put veterinary school yes successful saying somewhere along way lost wide-eyed girl muskegon
1478,1479,1,Meeseeks_and_Destroy,5,5,Beth:,"Well, her waistline isn't. ",well waistline
1480,1481,1,Meeseeks_and_Destroy,5,5,Beth:,You're saying I should leave Jerry.   I can't believe I'm finally having this conversation. ,saying leave jerry ca believe finally conversation
1483,1484,1,Meeseeks_and_Destroy,5,5,Beth:,I think I've had enough. ,think enough
1523,1524,1,Meeseeks_and_Destroy,5,5,Beth:,The most important love you can receive is from yourself.  ,important love receive
1531,1532,1,Meeseeks_and_Destroy,5,5,Beth:,"Our Meeseeks have been gone for hours, Jerry.  ",meeseeks gone hours jerry
1533,1534,1,Meeseeks_and_Destroy,5,5,Beth:,Notice anything different? ,notice anything different
1560,1560,1,Meeseeks_and_Destroy,5,5,Beth:,I'm going out. ,going
1562,1562,1,Meeseeks_and_Destroy,5,5,Beth:,"Well, you're busy. I'm hungry. I thought I'd go out. Do you want me to be happy or do you want me to be in prison? ",well busy hungry thought go want happy want prison
1635,1635,1,Meeseeks_and_Destroy,5,5,Beth:,"Jerry, maybe it's time I take that trip I always talk about. ",jerry maybe time take trip always talk
1637,1637,1,Meeseeks_and_Destroy,5,5,Beth:,"I don't know, man. Italy. Greece. Argentina.  ",know man italy greece argentina
1642,1642,1,Meeseeks_and_Destroy,5,5,Beth:,"Run, Jerry! ",run jerry
1664,1664,1,Meeseeks_and_Destroy,5,5,Beth:,"Jerry, turn around. Straighten your back. Bend your knees. Bend them. Square your shoulders. Take a deep breath. I love you.  ",jerry turn around straighten back bend knees bend square shoulders take deep breath love
1688,1688,1,Meeseeks_and_Destroy,5,5,Beth:,"Jerry, look. We don't have a perfect marriage, but I'm not going anywhere. When we were in that freezer, I realized the Meeseeks are like the guys I went to high school with willing to say anything to ""complete their task."" ",jerry look perfect marriage going anywhere freezer realized meeseeks like guys went high school willing say anything `` complete task
1690,1690,1,Meeseeks_and_Destroy,5,5,Beth:,The difference is you didn't disappear afterwards.  ,difference disappear afterwards
1692,1692,1,Meeseeks_and_Destroy,5,5,Beth:,Yeah...  ,yeah
1694,1694,1,Meeseeks_and_Destroy,5,5,Beth:,"Uh, your Meeseeks box happened. They went crazy when they couldn't take two strokes off Jerry's golf game. He felt terrible. ",uh meeseeks box happened went crazy could take two strokes jerry golf game felt terrible
1696,1696,1,Meeseeks_and_Destroy,5,5,Beth:,Dad!  ,dad
1741,1741,1,Rick_Potion_9,6,6,Beth:,"Ugh, what kind of question is that?",ugh kind question
1743,1743,1,Rick_Potion_9,6,6,Beth:,"Jerry, do you want homeless people to have homes?",jerry want homeless people homes
1745,1745,1,Rick_Potion_9,6,6,Beth:,Are you gonna build them?,gonna build
1747,1747,1,Rick_Potion_9,6,6,Beth:,"Then what good was the ""yes""?",good `` yes
1749,1749,1,Rick_Potion_9,6,6,Beth:,"Loving you is work, Jerry -- hard work, like building a homeless shelter -- nobody wants to say no to doing it, but some people put the work in, So, what do you say? Do you see me working here? Does this conversation seem tedious to me?",loving work jerry hard work like building homeless shelter nobody wants say people put work say see working conversation seem tedious
1751,1751,1,Rick_Potion_9,6,6,Beth:,"Then I obviously sort of love you, don't I? So stop asking, and maybe I'll love you more, Crap, they need me at the horse hospital,",obviously sort love stop asking maybe love crap need horse hospital
1753,1753,1,Rick_Potion_9,6,6,Beth:,"The racetrack had a starlight derby, There was a seven-horse collision, and Davin's there alone,",racetrack starlight derby seven-horse collision davin alone
1839,1839,1,Rick_Potion_9,6,6,Beth:,"Yes, it's satisfying work,",yes satisfying work
1842,1842,1,Rick_Potion_9,6,6,Beth:,"Hmm, uh, what are you doing?",hmm uh
1845,1845,1,Rick_Potion_9,6,6,Beth:,"Oh, ha, um, hey, I b-- I'd better get going, Um, Jerry's been texting some pretty high-maintenance stuff,",oh ha um hey b better get going um jerry texting pretty high-maintenance stuff
1847,1847,1,Rick_Potion_9,6,6,Beth:,"What is it, Davin?",davin
1851,1851,1,Rick_Potion_9,6,6,Beth:,"Let go of me, Davin!",let go davin
1858,1858,1,Rick_Potion_9,6,6,Beth:,Jerry! Thank god!,jerry thank god
1860,1860,1,Rick_Potion_9,6,6,Beth:,"Thank you, Jerry, Thank you,",thank jerry thank
1873,1873,1,Rick_Potion_9,6,6,Beth:,"If it were, you could call me Ernest Hemingway,",could call ernest hemingway
1882,1882,1,Rick_Potion_9,6,6,Beth:,"Oh, not fair? Give me a break, He is a selfish, irresponsible ass, and he left my mother, A real man stands by his woman,",oh fair give break selfish irresponsible ass left mother real man stands woman
1911,1911,1,Rick_Potion_9,6,6,Beth:,"Sometimes, But, I'm ashamed to admit, now that they're gone, I'm finally happy,",sometimes ashamed admit gone finally happy
1933,1933,1,Raising_Gazorpazorp,7,7,Beth:,"Intervening with puberty? You'll turn him into Ralph Fiennes in ""Red Dragon,"" He's at that age, Let's just be proud of him,",intervening puberty turn ralph fiennes `` red dragon age let proud
1936,1936,1,Raising_Gazorpazorp,7,7,Beth:,"Okay, now if we hear squeaking, we intervene,  ",okay hear squeaking intervene
1940,1940,1,Raising_Gazorpazorp,7,7,Beth:,"Okay, unacceptable! Oh,",okay unacceptable oh
1943,1943,1,Raising_Gazorpazorp,7,7,Beth:,"""Uh-oh""? What is that?!",`` uh-oh
1945,1945,1,Raising_Gazorpazorp,7,7,Beth:,"Grandpa Rick, no, no!",grandpa rick
1947,1947,1,Raising_Gazorpazorp,7,7,Beth:,"Dad, What do you think you're doing?!",dad think
1953,1953,1,Raising_Gazorpazorp,7,7,Beth:,"Well, dad, it's a living thing, and it's half human,",well dad living thing half human
1955,1955,1,Raising_Gazorpazorp,7,7,Beth:,"Jerry, majoring in civics was your mistake, Don't punish for it,",jerry majoring civics mistake punish
1960,1960,1,Raising_Gazorpazorp,7,7,Beth:,"They always do,",always
1962,1962,1,Raising_Gazorpazorp,7,7,Beth:,"Why, Jerry? Why expend the effort?",jerry expend effort
1980,1980,1,Raising_Gazorpazorp,7,7,Beth:,"Then you put it down and let it cry itself out,",put let cry
1982,1982,1,Raising_Gazorpazorp,7,7,Beth:,"Stop filling it with your own insecurity, You're gonna turn it into Morty -- uh, mm -- more -- more -- more -- more of you,",stop filling insecurity gonna turn morty uh mm
1984,1984,1,Raising_Gazorpazorp,7,7,Beth:,"Listen to me, I am not rewarding this behavior,",listen rewarding behavior
1987,1987,1,Raising_Gazorpazorp,7,7,Beth:,"At least we can agree on that,",least agree
2068,2068,1,Raising_Gazorpazorp,7,7,Beth:,"Nice,",nice
2149,2149,1,Raising_Gazorpazorp,7,7,Beth:,Dad? Summer? Where were you guys this whole time?,dad summer guys whole time
2151,2151,1,Raising_Gazorpazorp,7,7,Beth:,"I was reading a newspaper,",reading newspaper
2158,2158,1,Raising_Gazorpazorp,7,7,Beth:,"It's a thankless job, Morty, You did the best you could,",thankless job morty best could
2163,2163,1,Rixty_Minutes,8,8,Beth:,"Hold on, ,,,Will you please,,, not marry me?",hold please marry
2167,2167,1,Rixty_Minutes,8,8,Beth:,"Called it,",called
2188,2188,1,Rixty_Minutes,8,8,Beth:,What in the hell?,hell
2206,2206,1,Rixty_Minutes,8,8,Beth:,How is this possible?,possible
2224,2224,1,Rixty_Minutes,8,8,Beth:,"Ladies first,",ladies first
2228,2228,1,Rixty_Minutes,8,8,Beth:,Are we sure we want to do this -- look at our own alternate lives?,sure want look alternate lives
2231,2231,1,Rixty_Minutes,8,8,Beth:,What do you see?,see
2236,2236,1,Rixty_Minutes,8,8,Beth:,"Haven't we spent enough time on you? I'm performing surgery... but not on a horse -- on a human,",spent enough time performing surgery horse human
2238,2238,1,Rixty_Minutes,8,8,Beth:,"I am a real surgeon,",real surgeon
2243,2243,1,Rixty_Minutes,8,8,Beth:,"Well, you should select a different timeline, I mean, if your father and I achieved our dreams, there's a chance you weren't even born, That came out wrong, That came out very wrong,",well select different timeline mean father achieved dreams chance even born came wrong came wrong
2247,2247,1,Rixty_Minutes,8,8,Beth:,"Yahtzee's fun, We love Yahtzee,",yahtzee fun love yahtzee
2254,2254,1,Rixty_Minutes,8,8,Beth:,"Holy crap, I am winning a Nobel Prize,",holy crap winning nobel prize
2258,2258,1,Rixty_Minutes,8,8,Beth:,"When two people create a life together, they set aside their previous lives as individuals,",two people create life together set aside previous lives individuals
2260,2260,1,Rixty_Minutes,8,8,Beth:,"Oh, I get it, Now that you know you could have had it better, you resent me for holding you back,",oh get know could better resent holding back
2262,2262,1,Rixty_Minutes,8,8,Beth:,What are you talking about?,talking
2265,2265,1,Rixty_Minutes,8,8,Beth:,"Everyone thinks about it, Obviously, I'm the version of me that didn't do it, so you're welcome,",everyone thinks obviously version welcome
2276,2276,1,Rixty_Minutes,8,8,Beth:,"You can't leave, You're 17,",ca leave 17
2310,2310,1,Rixty_Minutes,8,8,Beth:,Did you really talk me out of the abortion?,really talk abortion
2312,2312,1,Rixty_Minutes,8,8,Beth:,"I think, in my head, I was doing it all for the kids, And now the first kid is going to do something with turquoise,",think head kids first kid going something turquoise
2314,2314,1,Rixty_Minutes,8,8,Beth:,"So we didn't do the kids any favors, So we should stay together for each other and ourselves or...",kids favors stay together
2383,2383,1,Rixty_Minutes,8,8,Beth:,"You did it, Beth, You really nailed it, You're a surgeon -- a human surgeon, Yay, you win,  ",beth really nailed surgeon human surgeon yay win
2387,2387,1,Rixty_Minutes,8,8,Beth:,Jerry? Jerry smith?,jerry jerry smith
2395,2395,1,Rixty_Minutes,8,8,Beth:,"So, the hamster live inside the rectums of those people?",hamster live inside rectums people
2409,2409,1,Something_Ricked_This_Way_Comes,9,9,Beth:,"Morty, I think it would be fun for you to work on a science project with your dad,",morty think would fun work science project dad
2684,2684,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"So dad, guess what tomorrow is...",dad guess tomorrow
2686,2686,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"No... well, it might be...",well might
2688,2688,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"Fine, but also, tomorrow is your one year anniversary back in our lives. I'm gonna make you flying saucer-shaped pancakes.",fine also tomorrow one year anniversary back lives gonna make flying saucer-shaped pancakes
2693,2693,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"Happy anniversary, dad!",happy anniversary dad
2696,2696,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"Nonsense, we couldn't be happier to have you around. I just wish I got to see more of you.",nonsense could happier around wish got see
2704,2704,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,Dad!,dad
2711,2711,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"Wait, wh-wh-wh-what about Jerry?",wait wh-wh-wh-what jerry
2715,2715,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,Our son's been abducted!,son abducted
2801,2801,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,Who wants lemonade?,wants lemonade
2805,2805,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,"Aww, thank buurp you!",aww thank buurp
2852,2852,1,Close_Rick-counters_of_the_Rick_Kind,10,10,Beth:,Coffee time!,coffee time
3026,3026,1,Ricksy_Business,11,11,Beth:,"Yes, we will have as much fun as possible on our... Titanic -themed getaway,",yes much fun possible titanic -themed getaway
3028,3028,1,Ricksy_Business,11,11,Beth:,"Speaking of disasters, dad, we are leaving you in charge, here,",speaking disasters dad leaving charge
3030,3030,1,Ricksy_Business,11,11,Beth:,"Hey, don't blow me off, I am drawing a line, okay? Any damage to this house or these children when we get back, and... n-no more adventures with Morty,",hey blow drawing line okay damage house children get back n-no adventures morty
3062,3062,1,Ricksy_Business,11,11,Beth:,"Jerry, I'd love to just kick back with a margarita and read, Do you mind if I skip the whole ""King of the world"" bit?",jerry love kick back margarita read mind skip whole `` king world bit
3064,3064,1,Ricksy_Business,11,11,Beth:,"Well, what about her? Excuse me, ma'am, Would you like to take my place in line?",well excuse would like take place line
3066,3066,1,Ricksy_Business,11,11,Beth:,"We won't tell,",wo tell
3208,3208,1,Ricksy_Business,11,11,Beth:,"  I am gonna go back to the room to finish my book, You should find that Lucy woman,",gonna go back room finish book find lucy woman
3256,3256,1,Ricksy_Business,11,11,Beth:,"Bet you're glad I think kindles are dumb now, I can't help but feel a little guilty, I didn't peg Lucy for a rapist,",bet glad think kindles dumb ca help feel little guilty peg lucy rapist
3258,3258,1,Ricksy_Business,11,11,Beth:,"What? Well, at least you got all this free stuff, Should be enough to satisfy your Titanic Jones for a while,",well least got free stuff enough satisfy titanic jones
3260,3260,1,Ricksy_Business,11,11,Beth:,"Jerry, just leave the door,",jerry leave door
3262,3262,1,Ricksy_Business,11,11,Beth:,"I don't care, Just leave it,",care leave
3352,3352,2,A_Rickle_in_Time,1,12,Beth:,"Hi, dad. ",hi dad
3354,3354,2,A_Rickle_in_Time,1,12,Beth:,"Summer, Morty, are you okay? ",summer morty okay
3360,3360,2,A_Rickle_in_Time,1,12,Beth:,"Sweety, is your shirt on backwards? ",sweety shirt backwards
3431,3431,2,A_Rickle_in_Time,1,12,Beth:,You realize they sing no matter how much you tip. ,realize sing matter much tip
3433,3433,2,A_Rickle_in_Time,1,12,Beth:,Holy shit! What happened?  ,holy shit happened
3435,3435,2,A_Rickle_in_Time,1,12,Beth:,W-what? ,w-what
3438,3438,2,A_Rickle_in_Time,1,12,Beth:,It's still alive. ,still alive
3440,3440,2,A_Rickle_in_Time,1,12,Beth:,"It's not an armadillo, asshole! ",armadillo asshole
3442,3442,2,A_Rickle_in_Time,1,12,Beth:,"If we were near a hospital, I could treat it, but I-I think we have to just- ",near hospital could treat i-i think just-
3446,3446,2,A_Rickle_in_Time,1,12,Beth:,Require different levels of skill to keep alive? ,require different levels skill keep alive
3448,3448,2,A_Rickle_in_Time,1,12,Beth:,"Get the deer in the car, Jerry. ",get deer car jerry
3478,3478,2,A_Rickle_in_Time,1,12,Beth:,"Emergency, wounded deer coming in. ",emergency wounded deer coming
3482,3482,2,A_Rickle_in_Time,1,12,Beth:,"I'm a certified horse surgeon, and this deer needs medical attention. Nurse, please move that snake. ",certified horse surgeon deer needs medical attention nurse please move snake
3484,3484,2,A_Rickle_in_Time,1,12,Beth:,"As a vet, I'm sure you know a deer is closer to a horse than you are to a doctor, so let's save the measuring for when our dicks are out, it's time to save a life! ",vet sure know deer closer horse doctor let save measuring dicks time save life
3487,3487,2,A_Rickle_in_Time,1,12,Beth:,"That's odd, this deer's wounded.  ",odd deer wounded
3489,3489,2,A_Rickle_in_Time,1,12,Beth:,I mean it's been shot. With a gun. ,mean shot gun
3495,3495,2,A_Rickle_in_Time,1,12,Beth:,"In your dreams, bitch! Scalpel! ",dreams bitch scalpel
3524,3524,2,A_Rickle_in_Time,1,12,Beth:,"You son of a bitch, you don't stop living until I SAY SO! ",son bitch stop living say
3531,3531,2,A_Rickle_in_Time,1,12,Beth:,"Jerry, if you're not gonna help, get the bleep out of here! I will reach into heaven and yank your screaming deer soul back! ",jerry gonna help get bleep reach heaven yank screaming deer soul back
3606,3606,2,A_Rickle_in_Time,1,12,Beth:,Isn't there a kitten somewhere that needs a manicure? ,kitten somewhere needs manicure
3656,3656,2,A_Rickle_in_Time,1,12,Beth:,Whatever. How petty would I have to be to care less about an animal's life than my own ego? ,whatever petty would care less animal life ego
3658,3658,2,A_Rickle_in_Time,1,12,Beth:,Where are we going? ,going
3660,3660,2,A_Rickle_in_Time,1,12,Beth:,Where's the helicopter? ,helicopter
3662,3662,2,A_Rickle_in_Time,1,12,Beth:,But the top deer surgeon... ,top deer surgeon
3665,3665,2,A_Rickle_in_Time,1,12,Beth:,I need five minutes. ,need five minutes
3667,3667,2,A_Rickle_in_Time,1,12,Beth:,"Jerry, this was the most romantic weekend I've ever had. ",jerry romantic weekend ever
3708,3708,2,A_Rickle_in_Time,1,12,Beth:,"Hey guys, we're home.",hey guys home
3714,3714,2,A_Rickle_in_Time,1,12,Beth:,  I'm gonna pee my pants. ,gonna pee pants
3717,3717,2,A_Rickle_in_Time,1,12,Beth:,I'm gonna pee-hee-hee. ,gonna pee-hee-hee
3863,3863,2,Mortynight_Run,2,13,Daycare Beth:,Jerry! ,jerry
3866,3866,2,Mortynight_Run,2,13,Daycare Beth:,"I love you, Jerry! ",love jerry
3868,3868,2,Mortynight_Run,2,13,Daycare Beth:,Who wants to come watch Midnight Run with director's commentary on? ,wants come watch midnight run director commentary
3870,3870,2,Mortynight_Run,2,13,Daycare Beth:,First one there gets to adjust the picture settings! ,first one gets adjust picture settings
4167,4167,2,Auto_Erotic_Assimilation,3,14,Beth:,"Jerry, what are you- what are you doing in here? ",jerry you-
4169,4169,2,Auto_Erotic_Assimilation,3,14,Beth:,But you can't go in the garage when Rick's not here. ,ca go garage rick
4171,4171,2,Auto_Erotic_Assimilation,3,14,Beth:,"Well, he doesn't like it.",well like
4173,4173,2,Auto_Erotic_Assimilation,3,14,Beth:,What is that supposed to mean?,supposed mean
4176,4176,2,Auto_Erotic_Assimilation,3,14,Beth:,"Oh, stop affecting that stupid hip-hop dialect! ",oh stop affecting stupid hip-hop dialect
4180,4180,2,Auto_Erotic_Assimilation,3,14,Beth:,"  I don't know, let's just leave! ",know let leave
4183,4183,2,Auto_Erotic_Assimilation,3,14,Beth:,"You don't know it was him!   Anyway, we're not supposed to be in here!",know anyway supposed
4220,4220,2,Auto_Erotic_Assimilation,3,14,Beth:,"Oh, you know my dad. Once he puts his mind to something...",oh know dad puts mind something
4224,4224,2,Auto_Erotic_Assimilation,3,14,Beth:,Jerry!,jerry
4226,4226,2,Auto_Erotic_Assimilation,3,14,Beth:,"Okay, you're just making stuff up now.",okay making stuff
4260,4260,2,Auto_Erotic_Assimilation,3,14,Beth:,"Goddamn it, stop.",goddamn stop
4338,4338,2,Auto_Erotic_Assimilation,3,14,Beth:,"Jerry, stop! Please, okay, we weren't even supposed to be down here. If we confront him about this-",jerry stop please okay even supposed confront this-
4340,4340,2,Auto_Erotic_Assimilation,3,14,Beth:,Oh listen to you relish the idea that my genius father is a bad person! Step out of your ego for a second and look at this thing! It's a monster! He might have it chained up so that it doesn't eat the planet!,oh listen relish idea genius father bad person step ego second look thing monster might chained eat planet
4342,4342,2,Auto_Erotic_Assimilation,3,14,Beth:,He's probably racing to cure its space aids!,probably racing cure space aids
4344,4344,2,Auto_Erotic_Assimilation,3,14,Beth:,He's protecting it!,protecting
4386,4386,2,Auto_Erotic_Assimilation,3,14,Beth:,You're the worst!,worst
4390,4390,2,Auto_Erotic_Assimilation,3,14,Beth:,You think supporting the family is about supporting you emotionally...,think supporting family supporting emotionally
4392,4392,2,Auto_Erotic_Assimilation,3,14,Beth:,"...but you're unsupportable! Because it's never enough, Jerry!",unsupportable never enough jerry
4394,4394,2,Auto_Erotic_Assimilation,3,14,Beth:,It will never be enough support to satisfy you! And you don't even know what it's like...,never enough support satisfy even know like
4396,4396,2,Auto_Erotic_Assimilation,3,14,Beth:,...to be afraid of losing anything because you cling and you cling and you cling...,afraid losing anything cling cling cling
4400,4400,2,Auto_Erotic_Assimilation,3,14,Beth:,Oh my god!,oh god
4402,4402,2,Auto_Erotic_Assimilation,3,14,Beth and Jerry:,Aah!,aah
4430,4430,2,Auto_Erotic_Assimilation,3,14,Beth:,"Dad...   I... um... Jerry and I were looking for our weed whacker, and found your subterranean lair... and your alien prisoner. And... he got away. And I know I sound like mom but I can't sacrifice this whole family's safety just because I'm afraid you'll leave again, so no more alien prisoners, and, no more subterranean excavation without consulting us. ",dad um jerry looking weed whacker found subterranean lair alien prisoner got away know sound like mom ca sacrifice whole family safety afraid leave alien prisoners subterranean excavation without consulting us
4432,4432,2,Auto_Erotic_Assimilation,3,14,Beth:,...Okay? Y-y-y-y-Okay like you're gonna quietly teleport somewhere and never come back?,okay y-y-y-y-okay like gonna quietly teleport somewhere never come back
4461,4461,2,Total_Rickall,4,15,Beth:,"Steve, you're so sweet! ",steve sweet
4493,4493,2,Total_Rickall,4,15,Beth:,"Dad, why does our house have blast shields? ",dad house blast shields
4496,4496,2,Total_Rickall,4,15,Beth:,"Jerry, buttons don't work better if you hit them harder, and foam fists don't make you strong. ",jerry buttons work better hit harder foam fists make strong
4511,4511,2,Total_Rickall,4,15,Beth:,But how did you know it was Nicky? ,know nicky
4513,4513,2,Total_Rickall,4,15,Beth:,So we can't trust any of our memories now? Nicky was the reason we found that old nazi submarine. Did that not even happen? ,ca trust memories nicky reason found old nazi submarine even happen
4529,4529,2,Total_Rickall,4,15,Beth:,"Don't worry, Jerry. Just relax. We called the fire department. ",worry jerry relax called fire department
4540,4540,2,Total_Rickall,4,15,Beth:,Aww. Mr. Beauregard. ,aww mr. beauregard
4543,4543,2,Total_Rickall,4,15,Beth:,"Oh, wait, don't leave without letting photography raptor take a picture.   ",oh wait leave without letting photography raptor take picture
4550,4550,2,Total_Rickall,4,15,Beth:,"Uh, dad, that's like 10 people. ",uh dad like 10 people
4555,4555,2,Total_Rickall,4,15,Beth:,"That's it. Photos. Hard evidence.   You're not in any of my photos, Mr. Poopybutthole. ",photos hard evidence photos mr. poopybutthole
4631,4631,2,Total_Rickall,4,15,Beth:,  Too many. ,many
4641,4641,2,Total_Rickall,4,15,Beth:,And don't forget his incredibly vague back story. ,forget incredibly vague back story
4643,4643,2,Total_Rickall,4,15,Beth:,"Oh, are you, dad? Are you? ",oh dad
4668,4668,2,Total_Rickall,4,15,Beth:,"Uh, roller coasters aren't bad, Mrs. Refrigerator. They're thrilling. And you've been a perfect companion to me my entire life. ",uh roller coasters bad mrs. refrigerator thrilling perfect companion entire life
4676,4676,2,Total_Rickall,4,15,Beth:,"Hmm? Yeah, yeah, yes. What time? ",hmm yeah yeah yes time
4678,4678,2,Total_Rickall,4,15,Beth:,"buurp   What're you, my life coach? ",buurp life coach
4680,4680,2,Total_Rickall,4,15,Beth:,"Sweetheart, are you okay? I didn't mean to -- ",sweetheart okay mean
4682,4682,2,Total_Rickall,4,15,Beth:,"It's not, don't overreact. I can clean it up. ",overreact clean
4686,4686,2,Total_Rickall,4,15,Beth:,"Thank you, sweetie. ",thank sweetie
