Sentence_id,Season,Episode,Episode_num,Episode_id,Character,Line
21,22,1,Pilot,1,1, Rick:,"And so that's the surprise, Morty."
22,23,1,Pilot,1,1, Morty:,"No, you can't! (shoves Rick away) Jessica doesn't even know I exist! But—but, but forget about that, because you can't blow up humanity!"
23,24,1,Pilot,1,1, Rick:,"I-I get what you're trying to say, Morty. Listen, I'm not... (spills alcohol down his shirt) You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty."
24,25,1,Pilot,1,1, Morty:,"What are you talking about, Rick?"
25,26,1,Pilot,1,1, Rick:,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty."
26,27,1,Pilot,1,1, Morty:,I don't care about Jessica! Y-Yyyyyyyyyyou—
27,28,1,Pilot,1,1, Rick:,"You know what, Morty? You're right. (throws empty bottle into the backseat) Let's forget the girl altogether. She, she's probably nothing but trouble, anyways. (presses a button)"
28,29,1,Pilot,1,1, Robot Voice:,Arming neutrino bomb.
29,30,1,Pilot,1,1, Morty:,"(unbuckles his seatbelt) That's it... that's it, Rick. I'm taking the wheel. (jumps up on Rick and starts fighting with him over control of the wheel)"
30,31,1,Pilot,1,1, Rick:,"Get off of me, Morty! (they begin to talk over each other)"
31,32,1,Pilot,1,1, Morty:,"I'm taking charge of this situation, buddy! (starts kicking Rick's face while grabbing the wheel) I'm put—I’m, I'm, I'm, I'm puttin’... I-I’m, I’m, I’m not gonna stand around like some sort of dumb... dumb person and just le-let you ruin the whole world!"
32,33,1,Pilot,1,1, Rick:,"(at the same time) Come on! What’s gotten into you? If you love Earth so much why don’t you marry it? (pushes Morty) What are you, crazy? Alright, alright, Morty. (pushes Morty off of him)"
33,34,1,Pilot,1,1, Rick:,Alright. I'll-I'll land. I'll land. I'll land. I'll land the thing. I’ll land the thing. Big tough guy all of a sudden.
34,35,1,Pilot,1,1,Scene Action:, [Cut to desert]
35,36,1,Pilot,1,1, Rick:,"(Rick lands the cruiser in an open desert; he opens the door and tumbles out among dozens of empty alcohol cans and bottles) We'll park it right here, Morty. Right here on the side of the ree... road here."
36,37,1,Pilot,1,1, Morty:,"Oh, thank god."
37,38,1,Pilot,1,1, Rick:,"You know what? That was all a test, Morty. Just an elaborate test to make you more assertive."
38,39,1,Pilot,1,1, Morty:,It was?
39,40,1,Pilot,1,1, Rick:,"Sure. Why not? I don’t, I don't know. Y-you know what, Mo— (falls asleep and begins snoring)"
40,41,1,Pilot,1,1, Robot Voice:,Neutrino bomb armed.
41,42,1,Pilot,1,1, Morty:,Um...
42,43,1,Pilot,1,1,Scene Action:, [Cut to opening theme]
43,44,1,Pilot,1,1,Scene Action:," [Open to Smith residence, dining room]"
44,45,1,Pilot,1,1, Jerry:,"I see there's a new episode of that singing show tonight. Who do you guys think is gonna be the best singer? (Morty falls asleep at the table, smashing his face into his plate)"
45,46,1,Pilot,1,1, Summer:,"Oh my God, his head is in his food. I'm going to puke."
46,47,1,Pilot,1,1, Beth:,"Morty, are you getting sick? (Morty lifts his head, clearly exhausted,"
47,48,1,Pilot,1,1,Scene Action:, and wipes food from his face) I told you not to practice-kiss the living room
48,49,1,Pilot,1,1,Scene Action:, pillow. The dog sleeps on it.
49,50,1,Pilot,1,1, Morty:,"I wasn't kissing a pillow, mom. I just I didn't get a lot of sleep last night. Maybe my dreams were just too loud or something."
50,51,1,Pilot,1,1, Summer:,Or maybe you were out all night again with Grandpa Rick.
51,52,1,Pilot,1,1, Jerry:,What?
52,53,1,Pilot,1,1, Beth:,Dad?
53,54,1,Pilot,1,1, Rick:,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?"
54,55,1,Pilot,1,1, Jerry:,Damn it!
55,56,1,Pilot,1,1, Beth:,Jerry!
56,57,1,Pilot,1,1, Jerry:,Beth!
57,58,1,Pilot,1,1, Summer:,"Oh my god, my parents are so loud, I want to die."
58,59,1,Pilot,1,1, Rick:,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later."
59,60,1,Pilot,1,1, Jerry:,"(glaring at Rick) Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?"
60,61,1,Pilot,1,1, Rick:,"Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time. (Jerry stares incredulously at him) Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue. (wipes his mouth and gets up, stopping behind Beth and putting a hand on her shoulder) This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them. (Rick gives Beth a kiss and walks away)"
61,62,1,Pilot,1,1, Beth:,"(tears up in happiness) Oh, dad…"
62,63,1,Pilot,1,1, Jerry:,What? For real? (Morty's face slams into his plate again)
63,64,1,Pilot,1,1,Scene Action:, [Cut to Ext. Harry Herpson High School]
64,65,1,Pilot,1,1, Mr. Goldenfold:,"Alright, now, everybody get settled. Get away from the windows!"
65,66,1,Pilot,1,1,Scene Action:, [Cut to Int. Mr. Goldenfold’s class]
66,67,1,Pilot,1,1, Mr. Goldenfold:,"Now, look, we're gonna be dealing with some real serious stuff today. You might have heard of it. It's called math? And without it, none of us would even exist, so let's jump right in. Two plus two."
67,68,1,Pilot,1,1, All classmates except Morty:,"Four. (Morty, sitting in the back row, stares at Jessica, who sits in the front row, answering Jessica’s name for the questions)"
68,69,1,Pilot,1,1, Morty:,Jessica.
69,70,1,Pilot,1,1, Mr. Goldenfold:,Five plus five.
70,71,1,Pilot,1,1, All classmates except Morty:,Ten.
71,72,1,Pilot,1,1, Morty:,"Jessica. (Jessica hears Morty and looks back, confused, not sure who’s saying her name)"
72,73,1,Pilot,1,1, Mr. Goldenfold:,"Okay, good. It's time for the quiz."
73,74,1,Pilot,1,1, Class:,Awwwwww.
74,75,1,Pilot,1,1, Mr. Goldenfold:,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room. (Morty stares at the quiz; the numbers on the quiz jumble together as Morty falls asleep) There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3:00. (Morty falls into a dream world filled with large number-shaped blocks; Jessica steps out from behind some of the numbers)"
75,76,1,Pilot,1,1, Jessica:,"Hi, Morty."
76,77,1,Pilot,1,1, Morty:,"Whoa! Hi, Jessica."
77,78,1,Pilot,1,1, Jessica:,"Can I show these to you? (Jessica opens her shirt, showing Morty her breasts)"
78,79,1,Pilot,1,1, Morty:,Wow. Th-they're both great. Thank you!
79,80,1,Pilot,1,1, Jessica:,You know what I named these? My little Morties.
80,81,1,Pilot,1,1, Morty:,"(rubs the back of his neck) Uh, that's flattering... and a little weird."
81,82,1,Pilot,1,1, Jessica:,Do you know what I want you to do with them?
82,83,1,Pilot,1,1, Morty:,Rename them?
83,84,1,Pilot,1,1, Jessica:,"Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers."
84,85,1,Pilot,1,1, Morty:,"Wow. Well, okay, Jessica. L-let's give this a shot. (Morty grabs her breasts and starts fondling her)"
85,86,1,Pilot,1,1, Jessica:,"Mm. Oh, Morty. What are you doing to me?"
86,87,1,Pilot,1,1, Morty:,"Uh, I-I'm just doing my best. (in real life, class has ended and Morty is fondling Mr. Goldenfold)"
87,88,1,Pilot,1,1, Mr. Goldenfold:,Morty! What are you doing to me?!
88,89,1,Pilot,1,1, Morty:,"(sleep-talking) Ah, Jessica."
89,90,1,Pilot,1,1, Mr. Goldenfold:,Morty!
90,91,1,Pilot,1,1, Morty:,Jessica.
91,92,1,Pilot,1,1, Mr. Goldenfold:,"Five more minutes of this, and I'm gonna get mad. (leans back and bites his lip)"
92,93,1,Pilot,1,1, Morty:,Je-Jessica. Jessica.
93,94,1,Pilot,1,1, Mr. Goldenfold:,Not my fault this is happening.
94,95,1,Pilot,1,1,Scene Action:, [Cut to hallway]
95,96,1,Pilot,1,1, Frank:,"(Morty is at his locker, where he is confronted by a bully, Frank Palicky) Well, well, well."
96,97,1,Pilot,1,1, Morty:,"Uh, morning, Frank."
97,98,1,Pilot,1,1, Frank:,"(pins Morty to his locker) ""Morning""? What was what is that supposed to mean? You making fun of me? Are you trying to say my family's poor? (takes out a pocket knife and points it at Morty's neck)"
98,99,1,Pilot,1,1, Morty:,"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it."
99,100,1,Pilot,1,1, Frank:,"You telling me how to bully now? Big mistake, Morty and now I'm gonna cut you, 'cause my family's rich. (Frank suddenly freezes and Rick steps out from behind him)"
100,101,1,Pilot,1,1, Rick:,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands."
101,102,1,Pilot,1,1, Morty:,"Oh, geez, Rick. W-w-what'd you do to Frank?"
102,103,1,Pilot,1,1, Rick:,"It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. (burps) It's important. Come on, Morty."
103,104,1,Pilot,1,1, Morty:,"I don't know, Rick. I can't leave school again."
104,105,1,Pilot,1,1, Rick:,"Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!"
105,106,1,Pilot,1,1, Morty:,"Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?"
106,107,1,Pilot,1,1, Rick:,"I'll do it later, Morty. He'll be fine. Let's go. (takes off with Morty and then Summer comes by, seeing Frank's frozen body)"
107,108,1,Pilot,1,1, Summer (in her head):,"Oh, my God. I'm about to walk past Frank Palicky. This is the story we'll be telling our children. (walks up to Frank and talks to him, oblivious to the fact that he's frozen)"
108,109,1,Pilot,1,1, Summer:,"Hi, Frank. (Frank's frozen foot breaks and he drops to the ground and shatters into a million pieces, dying)"
109,110,1,Pilot,1,1, Summer:,AAAAAAAAAAAHHHHH!!!!!!!
110,111,1,Pilot,1,1,Scene Action:, [Cut to horse hospital]
111,112,1,Pilot,1,1, Beth:,(performing heart surgery on a horse) Scalpel.
112,113,1,Pilot,1,1, Davin:,Scalpel. (Jerry enters the room)
113,114,1,Pilot,1,1, Jerry:,"Knock, knock."
114,115,1,Pilot,1,1, Beth:,Jerry?
115,116,1,Pilot,1,1, Jerry:,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"" (The heart rate for the horse starts beeping really fast)"
116,117,1,Pilot,1,1, Tom:,(offscreen) We're losing him. (Beth adjusts the horse's organs)
117,118,1,Pilot,1,1, Tom:,"(offscreen) Okay, he's back."
118,119,1,Pilot,1,1, Beth:,"Jerry, please tell me you're here for an incredibly urgent reason."
119,120,1,Pilot,1,1, Jerry:,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia. (the heart rate starts beeping again)"
120,121,1,Pilot,1,1, Tom:,(offscreen) Losing him. (Beth adjusts the organs again)
121,122,1,Pilot,1,1, Tom:,(offscreen) Stabilized.
122,123,1,Pilot,1,1, Beth:,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery."
123,124,1,Pilot,1,1, Jerry:,"Well, yeah, on horses."
124,125,1,Pilot,1,1, Beth:,Excuse me?
125,126,1,Pilot,1,1, Jerry:,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way. (drops a pamphlet on the ground)"
126,127,1,Pilot,1,1, Jerry:,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home. (Beth looks at Jerry angrily and the heart hate starts beeping again)"
127,128,1,Pilot,1,1, Tom:,(offscreen) We're losing him.
128,129,1,Pilot,1,1, Beth:,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!"
129,130,1,Pilot,1,1,Scene Action:, [Cut to alleyway]
130,131,1,Pilot,1,1, Rick:,"There she is. All right. Come on, Morty. Let's go."
131,132,1,Pilot,1,1, Morty:,"Oh, geez, okay. (Rick and Morty go through the portal and end up in a crazy alternate dimension)"
132,133,1,Pilot,1,1, Morty:,"Oh, man, Rick. What is this place?"
133,134,1,Pilot,1,1, Rick:,"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty."
134,135,1,Pilot,1,1, Morty:,"Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing."
135,136,1,Pilot,1,1, Rick:,"All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— (a gigantic alien monster suddenly appears behind them)"
136,137,1,Pilot,1,1, Rick:,"HOLY CRAP, MORTY RUN!!! (they take off, running in complete and total fear as the monster chases them)"
137,138,1,Pilot,1,1, Rick:,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!"
138,139,1,Pilot,1,1,Scene Action:, [Cut to black]
139,140,1,Pilot,1,1, Rick:,"(having apparently escaped, they are walking through Dimension 35-C, continuing their adventure) Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline."
140,141,1,Pilot,1,1, Morty:,"All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?"
141,142,1,Pilot,1,1, Rick:,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there. (a weird looking monster is seen cooing and rolling around on the ground) What the hell is that thing? You think you're gonna see that kind of thing at school? (offscreen) Look at it just lumbering around. (onscreen) It defies all logic, that thing."
142,143,1,Pilot,1,1, Morty:,"Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave. (they come up to a cliff and Rick stops him there)"
143,144,1,Pilot,1,1, Rick:,"Ta-ta-ta-ta-ta-ta. Morty, you see this? (he and Morty are looking down upon a vast forest of interdimensional trees)"
144,145,1,Pilot,1,1, Rick:,"You see what we just stumbled upon, Morty? Any idea what that is down there?"
145,146,1,Pilot,1,1, Morty:,The mega trees?
146,147,1,Pilot,1,1, Rick:,"That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school."
147,148,1,Pilot,1,1, Morty:,"All right, all right. So, what's so special about these seeds, anyways?"
148,149,1,Pilot,1,1, Rick:,"You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an (burps) under- (burps) underfoot figure. (Rick gives Morty a pair of shoes and Morty proceeds to put them on)"
149,150,1,Pilot,1,1, Rick:,"Just take these shoes, Morty. They're (burps) special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together."
150,151,1,Pilot,1,1, Morty:,"(walks off the cliff and plummets to the ground, screaming and smashing into rocks) AAAAAAAHHHH!!!!!!"
151,152,1,Pilot,1,1, Rick:,"You have to turn them on, Morty! The shoes have to be turned on!"
152,153,1,Pilot,1,1,Scene Action:, [Cut to hospital]
153,154,1,Pilot,1,1, Beth:,"I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?"
154,155,1,Pilot,1,1, Jerry:,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son."
155,156,1,Pilot,1,1, Davin:,"Everything cool in here, Beth?"
156,157,1,Pilot,1,1, Beth:,"It's fine, Davin."
157,158,1,Pilot,1,1, Davin:,"Okay, cool. You know, we did something great today. There's nothing more noble and free than the heart of a horse. (Jerry closes the door on Davin)"
158,159,1,Pilot,1,1, Jerry:,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies."
159,160,1,Pilot,1,1, Beth:,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend. (the phone starts ringing)"
160,161,1,Pilot,1,1, Jerry:,"(sighs) Well, maybe you're right."
161,162,1,Pilot,1,1, Beth:,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?"
162,163,1,Pilot,1,1, Jerry:,"(coughs) Ahem, Horse heart surgeon. (Beth answers the phone and gets a call from Morty's principal, Gene Vagina)"
163,164,1,Pilot,1,1, Principal Vagina:,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?"
164,165,1,Pilot,1,1,Scene Action:, [Cut to Dimension 35-C]
165,166,1,Pilot,1,1, Rick:,"(standing by Morty, who is lying on the ground with his legs broken) Morty, oh, you really d-did a number on (offscreen) your legs right now. You know, you got to turn (onscreen) the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze."
166,167,1,Pilot,1,1, Morty:,"I'm in a lot of pain, Rick!"
167,168,1,Pilot,1,1, Rick:,"Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?"
168,169,1,Pilot,1,1, Morty:,"Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something."
169,170,1,Pilot,1,1, Rick:,"Okay, hold on just a second, Morty. (opens another portal and leaves Morty behind, lying on the ground to suffer for a few seconds)"
170,171,1,Pilot,1,1, Morty:,"Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh! (Rick finally returns and injects Morty's legs with medicine, healing them to perfection)"
171,172,1,Pilot,1,1, Morty:,"Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, I've never felt so good in my life. Thank you."
172,173,1,Pilot,1,1, Rick:,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?"
173,174,1,Pilot,1,1, Morty:,"Sure thing, Rick. (goes up the tree and gets the Mega Fruit while Rick talks to him)"
174,175,1,Pilot,1,1, Rick:,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore. (offscreen) The stuff was all over the place, Morty."
175,176,1,Pilot,1,1, Morty:,"Wow, that's pretty crazy, Rick."
176,177,1,Pilot,1,1, Rick:,"There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that (burps) they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty. (burps) It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left."
177,178,1,Pilot,1,1, Morty:,What?!
178,179,1,Pilot,1,1, Rick:,"It's as good as garbage, Morty. It's not gonna work anymore, Morty."
179,180,1,Pilot,1,1, Morty:,"Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?"
180,181,1,Pilot,1,1, Rick:,"There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid."
181,182,1,Pilot,1,1, Morty:,Uh-oh.
182,183,1,Pilot,1,1, Rick:,"When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty."
183,184,1,Pilot,1,1, Morty:,In my butt?
184,185,1,Pilot,1,1, Rick:,"Put them way up inside there, as far as they can fit."
185,186,1,Pilot,1,1, Morty:,"Oh, geez, Rick. I really don't want to have to do that."
186,187,1,Pilot,1,1, Rick:,"Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty"
187,188,1,Pilot,1,1, Morty:,Uuuh.
188,189,1,Pilot,1,1, Rick:,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y- (burps) you've got to put these seeds inside your butt."
189,190,1,Pilot,1,1, Morty:,In my butt?
190,191,1,Pilot,1,1, Rick:,"Come on, Morty. Please, Morty. You have to do it, Morty."
191,192,1,Pilot,1,1, Morty:,"Oh, man."
192,193,1,Pilot,1,1,Scene Action:, [Cut to high school]
193,194,1,Pilot,1,1, Principal Vagina:,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months."
194,195,1,Pilot,1,1, Beth:,What? Why didn't you notify us?
195,196,1,Pilot,1,1, Principal Vagina:,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?
196,197,1,Pilot,1,1, Jerry:,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?"
197,198,1,Pilot,1,1, Principal Vagina:,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school. (they stop to see Summer and some other students, crying at an obituary for Frank)"
198,199,1,Pilot,1,1, Beth:,Summer?
199,200,1,Pilot,1,1, Summer:,(sobs) What kind of God lets this happen?
200,201,1,Pilot,1,1, Principal Vagina:,We had a little incident. A student was frozen to death. (chuckles) And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.
201,202,1,Pilot,1,1,Scene Action:, [Cut to Intergalactic Customs]
202,203,1,Pilot,1,1, Announcer:,The glarp zone is for flarping and unglarping only.
203,204,1,Pilot,1,1, Alien:,"So, I told him, ""give me the blimfarx,"" you know? This-this guy he doesn't understand interstellar currency."
204,205,1,Pilot,1,1, Alien:,"It's, like, I'm trying to eat a flimflam like, that's what we eat on Girvonesk."
205,206,1,Pilot,1,1, Announcer:,The glarp zone is for flarping and unglarping only.
206,207,1,Pilot,1,1, Rick:,"(Morty comes up to him, who is waiting in line to get through security) I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?"
207,208,1,Pilot,1,1, Morty:,"Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt."
208,209,1,Pilot,1,1, Rick:,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-"
209,210,1,Pilot,1,1,Scene Action:," (burps) all kind of things with them. It's gonna be great, Morty. A- (burps) all kinds of science. (aliens are going through security with a Gromflomite, letting them through)"
210,211,1,Pilot,1,1, Gromflomite:,"Okay, next through. (stops Morty) Except you. You go over there."
211,212,1,Pilot,1,1, Rick:,Why does he have to go over there?
212,213,1,Pilot,1,1, Gromflomite:,Random check. He's got to go through the new machine.
213,214,1,Pilot,1,1, Rick:,What new- (burps) what new machine?
214,215,1,Pilot,1,1, Gromflomite:,It's a new machine. It detects stuff all the way up your butt.
215,216,1,Pilot,1,1, Rick:,"Run, Morty! Run! (grabs Morty and they run through security and dart for the exit)"
216,217,1,Pilot,1,1, Morty:,Aaaaaah!
217,218,1,Pilot,1,1, Gromfomite:,Red alert! (team of Gromflomites starts chasing after Rick and Morty)
218,219,1,Pilot,1,1, Morty:,"Ohhhhh! (Rick pushes over a giant capsule, with an alien fetus over, smashing some Gromflomites, to slow them down)"
219,220,1,Pilot,1,1, Morty:,"Ohhhhhh! (an alien is seen smoking a hookah and Morty runs past him and accidentally inhales the smoke from the hookah while Rick comes from behind and slaps the alien in the face, causing the alien to cry; he then coughs up a life form from the smoke and the lifeform starts running through the glarp zone and goes through the entire aging process from developing fetus to decomposing corpse, over the course of three seconds)"
220,221,1,Pilot,1,1, Morty:,Aaaaah!
221,222,1,Pilot,1,1, Rick:,Don't think about it! (he and Morty are cornered but Morty activates the grappling shoes and runs up the wall with Rick)
222,223,1,Pilot,1,1, Rick:,"Ooh! Oh, nice, Morty! The student becomes the teacher. (the Gromflomites reveal that they can fly and then Rick and Morty start running away)"
223,224,1,Pilot,1,1, Morty:,"Whoooooo! (he and Rick run through the equipment on the ceiling, before they slip off to the ground)"
224,225,1,Pilot,1,1, Alien:,"Aah! Aw, hell, no, dawg. You know me I'm just trying to— (Rick and Morty crash to the ground and he dies; they then run to the portal computer)"
225,226,1,Pilot,1,1, Rick:,"I need to type in the coordinates to our home world, Morty. Cover me. (he tosses Morty a gun)"
226,227,1,Pilot,1,1, Morty:,"Oh, man. I mean, you know, I-I don't want to shoot nobody."
227,228,1,Pilot,1,1, Rick:,"They're just robots, Morty! It's okay to shoot them! They're robots! (Morty shoots a Glenn, blowing his leg off, and making blood gush out as he drops down in pain)"
228,229,1,Pilot,1,1, Glenn:,Aaaaah! My leg is shot off!
229,230,1,Pilot,1,1, Other Gromflomite:,Glenn's bleeding to death! Someone call his wife and children!
230,231,1,Pilot,1,1, Morty:,"They're not robots, Rick!"
231,232,1,Pilot,1,1, Rick:,"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here! (Morty continues shooting the Gromflomites and even kills some innocent bystanders while Rick hacks into the portal to take them back home)"
232,233,1,Pilot,1,1, Morty:,Holy crap! This is insane! (Rick opens the portal and takes Morty in with him)
233,234,1,Pilot,1,1, Rick:,"Come on, Morty! We got to get the hell out of here! (the portal opens up in the lunchroom at school and Rick and Morty land on the table where Jessica and her friends are eating)"
234,235,1,Pilot,1,1, Jessica:,Wow. Did you just come into the cafeteria through a portal?
